unique_key,address,census_tract,clearance_date,clearance_status,council_district_code,description,district,latitude,longitude,location,location_description,primary_type,timestamp,x_coordinate,y_coordinate,year,zipcode
2015480582,"1500 BLOCK E 4TH ST/NORTH ALLEY Austin, TX",,2015-05-20 12:00:00.000000 UTC,Not cleared,,AUTO THEFT                    ,UK,,,,1500 BLOCK E 4TH ST/NORTH ALLEY,Auto Theft,2015-02-17 12:00:00.000000 UTC,,,2015,
20151480925,"200 ZILKER CLUBHOUSE DR Austin, TX",,2015-05-28 12:00:00.000000 UTC,Not cleared,,AUTO THEFT                    ,UK,,,,200 ZILKER CLUBHOUSE DR,Auto Theft,2015-05-28 12:00:00.000000 UTC,,,2015,
2015521257,"2508 EAST RIVERSIDE DRIVE Austin, TX",,2015-02-21 12:00:00.000000 UTC,Cleared by Arrest,,THEFT                         ,UK,,,,2508 EAST RIVERSIDE DRIVE,Theft,2015-02-21 12:00:00.000000 UTC,,,2015,
2015540157,"1900 FRONTIER VALLEY Austin, TX",,2015-04-08 12:00:00.000000 UTC,Not cleared,,AGG ROBBERY/DEADLY WEAPON     ,UK,,,,1900 FRONTIER VALLEY,Robbery,2015-02-23 12:00:00.000000 UTC,,,2015,
20151542027,"Austin, TX",,2015-07-24 12:00:00.000000 UTC,Not cleared,,RAPE                          ,D,,,,nan,Rape,2015-06-03 12:00:00.000000 UTC,,,2015,
2015611033,"1030 NORWOOD PARK Austin, TX",,2015-03-02 12:00:00.000000 UTC,Not cleared,,THEFT BY SHOPLIFTING          ,UK,,,,1030 NORWOOD PARK,Theft,2015-03-02 12:00:00.000000 UTC,,,2015,
20155009244,"601 E 15 ST Austin, TX",,,,,THEFT                         ,UK,,,,601 E 15 ST,Theft,2015-03-05 12:00:00.000000 UTC,,,2015,
20152001758,"Austin, TX",,2015-08-15 12:00:00.000000 UTC,Not cleared,,RAPE                          ,F,,,,nan,Rape,2015-07-19 12:00:00.000000 UTC,,,2015,
20151340282,"Austin, TX",,2015-06-15 12:00:00.000000 UTC,Cleared by Exception,,RAPE                          ,UK,,,,nan,Rape,2015-05-14 12:00:00.000000 UTC,,,2015,
20155009794,"7575 BURNET RD. Austin, TX",,2015-03-10 12:00:00.000000 UTC,Not cleared,,THEFT OF AUTO PARTS           ,B,,,,7575 BURNET RD.,Theft,2015-03-09 12:00:00.000000 UTC,,,2015,
2015701884,"5400 FRIEDRICH LN Austin, TX",,2015-03-13 12:00:00.000000 UTC,Not cleared,,THEFT FROM PERSON             ,UK,,,,5400 FRIEDRICH LN,Theft,2015-03-11 12:00:00.000000 UTC,,,2015,
20151871268,"Austin, TX",,2015-10-27 12:00:00.000000 UTC,Not cleared,,RAPE                          ,UK,,,,nan,Rape,2015-07-06 12:00:00.000000 UTC,,,2015,
20155032413,"Austin, TX",,2015-10-19 12:00:00.000000 UTC,Not cleared,,RAPE OF A CHILD               ,UK,,,,nan,Rape,2015-07-24 12:00:00.000000 UTC,,,2015,
2015791809,"12707 N MOPAC EXPY SVRD NB Austin, TX",,2015-03-26 12:00:00.000000 UTC,Cleared by Arrest,,THEFT                         ,UK,,,,12707 N MOPAC EXPY SVRD NB,Theft,2015-03-20 12:00:00.000000 UTC,,,2015,
2015900289,"Austin, TX",,2015-04-23 12:00:00.000000 UTC,Not cleared,,RAPE                          ,D,,,,nan,Rape,2015-03-31 12:00:00.000000 UTC,,,2015,
20155014957,"901 MCPHAUL ST Austin, TX",,2015-04-09 12:00:00.000000 UTC,Not cleared,,THEFT                         ,UK,,,,901 MCPHAUL ST,Theft,2015-04-09 12:00:00.000000 UTC,,,2015,
20158001224,"14028 N US 183 HWY NB Austin, TX",,,,,THEFT BY SHOPLIFTING          ,UK,,,,14028 N US 183 HWY NB,Theft,2015-04-13 12:00:00.000000 UTC,,,2015,
20151060966,"Austin, TX",,2015-04-23 12:00:00.000000 UTC,Cleared by Exception,,RAPE                          ,B,,,,nan,Rape,2015-04-16 12:00:00.000000 UTC,,,2015,
20155033176,"7625 E BEN WHITE BLVD SVRD EB Austin, TX",,2015-08-26 12:00:00.000000 UTC,Not cleared,,BURGLARY OF VEHICLE           ,H,,,,7625 E BEN WHITE BLVD SVRD EB,Theft,2015-07-29 12:00:00.000000 UTC,,,2015,
20151161794,"2610 HILLVIEW ROAD Austin, TX",,2015-06-16 12:00:00.000000 UTC,Not cleared,,BURGLARY OF VEHICLE           ,UK,,,,2610 HILLVIEW ROAD,Theft,2015-04-26 12:00:00.000000 UTC,,,2015,
20151181784,"13201 N FM 620 RD NB Austin, TX",,2015-04-29 12:00:00.000000 UTC,Cleared by Arrest,,THEFT                         ,UK,,,,13201 N FM 620 RD NB,Theft,2015-04-28 12:00:00.000000 UTC,,,2015,
20151191755,"N. PLEASANT VALLEY DR / KUHLMAN AVE Austin, TX",,2015-04-30 12:00:00.000000 UTC,Cleared by Arrest,,AGG ASSAULT FAM/DATE VIOLENCE ,UK,,,,N. PLEASANT VALLEY DR / KUHLMAN AVE,Agg Assault,2015-04-30 12:00:00.000000 UTC,,,2015,
20155018309,"1401-1/2 CANTERBURY ST Austin, TX",,2015-06-01 12:00:00.000000 UTC,Not cleared,,THEFT                         ,G,,,,1401-1/2 CANTERBURY ST,Theft,2015-04-30 12:00:00.000000 UTC,,,2015,
20158001531,"1230 E 38TH HALF ST E Austin, TX",,,,,THEFT OF BICYCLE              ,UK,,,,1230 E 38TH HALF ST E,Theft,2015-05-06 12:00:00.000000 UTC,,,2015,
20151291864,"N IH 35 SVRD NB/ RESEARCH BLVD SVRD WB Austin, TX",,2015-05-11 12:00:00.000000 UTC,Cleared by Exception,,AGG ASSAULT                   ,UK,,,,N IH 35 SVRD NB/ RESEARCH BLVD SVRD WB,Agg Assault,2015-05-09 12:00:00.000000 UTC,,,2015,
20153641440,"WESTGATE/ SLAUGHTER LN Austin, TX",,,,,AGG ASSAULT                   ,UK,,,,WESTGATE/ SLAUGHTER LN,Agg Assault,2015-12-30 12:00:00.000000 UTC,,,2015,
20151340716,"8600 HWY 71 W Austin, TX",,2015-05-17 12:00:00.000000 UTC,Not cleared,,THEFT                         ,UK,,,,8600 HWY 71 W,Theft,2015-05-14 12:00:00.000000 UTC,,,2015,
20155020791,"11009 CAIRNHILL DR Austin, TX",,,,,THEFT                         ,UK,,,,11009 CAIRNHILL DR,Theft,2015-05-15 12:00:00.000000 UTC,,,2015,
20151430425,"3506 KRAMER LN Austin, TX",,,,,THEFT                         ,UK,,,,3506 KRAMER LN,Theft,2015-05-23 12:00:00.000000 UTC,,,2015,
20151460876,"Austin, TX",,2015-07-15 12:00:00.000000 UTC,Cleared by Exception,,RAPE OF A CHILD               ,UK,,,,nan,Rape,2015-05-26 12:00:00.000000 UTC,,,2015,
20151470434,"1900 CLUB VIEW AVE Austin, TX",,2015-12-05 12:00:00.000000 UTC,Not cleared,,BURGLARY OF VEHICLE           ,UK,,,,1900 CLUB VIEW AVE,Theft,2015-05-27 12:00:00.000000 UTC,,,2015,
20151481471,"2500 WILLOW CREEK DR Austin, TX",,2015-06-23 12:00:00.000000 UTC,Not cleared,,AUTO THEFT                    ,UK,,,,2500 WILLOW CREEK DR,Auto Theft,2015-05-28 12:00:00.000000 UTC,,,2015,
20151500487,"1300 CROSSING PLACE Austin, TX",,,,,BURGLARY OF VEHICLE           ,UK,,,,1300 CROSSING PLACE,Theft,2015-05-30 12:00:00.000000 UTC,,,2015,
20151521585,"9910 SLAUGHTER CREEK DR Austin, TX",,2015-07-02 12:00:00.000000 UTC,Not cleared,,BURGLARY NON RESIDENCE        ,UK,,,,9910 SLAUGHTER CREEK DR,Burglary,2015-06-01 12:00:00.000000 UTC,,,2015,
20155023476,"1015 E YARGER LN Austin, TX",,2015-06-08 12:00:00.000000 UTC,Not cleared,,BURGLARY OF VEHICLE           ,E,,,,1015 E YARGER LN,Theft,2015-06-01 12:00:00.000000 UTC,,,2015,
20151540257,"12151 N IH 35 SVRD SB Austin, TX",,,,,BURGLARY OF VEHICLE           ,UK,,,,12151 N IH 35 SVRD SB,Theft,2015-06-03 12:00:00.000000 UTC,,,2015,
20155024205,"Austin, TX",,2015-12-17 12:00:00.000000 UTC,Not cleared,,RAPE OF A CHILD               ,UK,,,,nan,Rape,2015-06-05 12:00:00.000000 UTC,,,2015,
20151562051,"12537 RESEARCH BLVD SVC RD SB Austin, TX",,,,,THEFT OF BICYCLE              ,UK,,,,12537 RESEARCH BLVD SVC RD SB,Theft,2015-06-05 12:00:00.000000 UTC,,,2015,
20151580995,"8805 NORTH PLAZA Austin, TX",,2015-06-22 12:00:00.000000 UTC,Not cleared,,BURGLARY OF VEHICLE           ,UK,,,,8805 NORTH PLAZA,Theft,2015-06-07 12:00:00.000000 UTC,,,2015,
20151591299,"12707 MOPAC EXPY SVRD NB Austin, TX",,2015-06-20 12:00:00.000000 UTC,Cleared by Arrest,,THEFT BY SHOPLIFTING          ,A,,,,12707 MOPAC EXPY SVRD NB,Theft,2015-06-08 12:00:00.000000 UTC,,,2015,
20155025309,"PARMER LANE Austin, TX",,,,,THEFT                         ,UK,,,,PARMER LANE,Theft,2015-06-11 12:00:00.000000 UTC,,,2015,
20151661011,"6319 CAMERON RD Austin, TX",,2015-06-16 12:00:00.000000 UTC,Cleared by Arrest,,THEFT BY SHOPLIFTING          ,I,,,,6319 CAMERON RD,Theft,2015-06-15 12:00:00.000000 UTC,,,2015,
20151661147,"7301 SPICEWOOD SPRINGS Austin, TX",,,,,BURGLARY OF VEHICLE           ,UK,,,,7301 SPICEWOOD SPRINGS,Theft,2015-06-15 12:00:00.000000 UTC,,,2015,
20158002051,"11701 BIG TRAIL Austin, TX",,,,,THEFT OF BICYCLE              ,UK,,,,11701 BIG TRAIL,Theft,2015-06-18 12:00:00.000000 UTC,,,2015,
20151711041,"12612 N LAMAR BLVD SB Austin, TX",,2015-06-21 12:00:00.000000 UTC,Not cleared,,AUTO THEFT                    ,UK,,,,12612 N LAMAR BLVD SB,Auto Theft,2015-06-20 12:00:00.000000 UTC,,,2015,
20151752054,"905 BENFIELD AVE Austin, TX",,2015-07-06 12:00:00.000000 UTC,Not cleared,,AGG ASLT STRANGLE/SUFFOCATE   ,UK,,,,905 BENFIELD AVE,Agg Assault,2015-06-24 12:00:00.000000 UTC,,,2015,
20151751081,"12707 N MOPAC SVRD SB Austin, TX",,2015-06-26 12:00:00.000000 UTC,Cleared by Arrest,,THEFT                         ,UK,,,,12707 N MOPAC SVRD SB,Theft,2015-06-24 12:00:00.000000 UTC,,,2015,
20158002133,"200 ZILKER CLUBHOUSE RD Austin, TX",,,,,THEFT                         ,UK,,,,200 ZILKER CLUBHOUSE RD,Theft,2015-06-27 12:00:00.000000 UTC,,,2015,
20151790622,"700 BLK IH 35 E/F Austin, TX",,,,,AGG ASSAULT                   ,UK,,,,700 BLK IH 35 E/F,Agg Assault,2015-06-28 12:00:00.000000 UTC,,,2015,
20151800880,"1030 NORWOOD PARK Austin, TX",,2015-07-06 12:00:00.000000 UTC,Cleared by Arrest,,THEFT                         ,UK,,,,1030 NORWOOD PARK,Theft,2015-06-29 12:00:00.000000 UTC,,,2015,
20151811416,"Austin, TX",,2015-07-01 12:00:00.000000 UTC,Not cleared,,RAPE                          ,H,,,,nan,Rape,2015-06-30 12:00:00.000000 UTC,,,2015,
20155029863,"113 AMHURST C0URT Austin, TX",,2015-07-14 12:00:00.000000 UTC,Cleared by Exception,,AGG ASSAULT FAM/DATE VIOLENCE ,UK,,,,113 AMHURST C0URT,Agg Assault,2015-07-09 12:00:00.000000 UTC,,,2015,
20151900072,"16 APRON ACESS RD Austin, TX",,,,,THEFT                         ,UK,,,,16 APRON ACESS RD,Theft,2015-07-09 12:00:00.000000 UTC,,,2015,
20155030317,"2389 STRATFORD DR Austin, TX",,2015-07-15 12:00:00.000000 UTC,Not cleared,,BURGLARY OF VEHICLE           ,D,,,,2389 STRATFORD DR,Theft,2015-07-12 12:00:00.000000 UTC,,,2015,
20151980477,"12400 YAGER LN Austin, TX",,,,,BURGLARY OF VEHICLE           ,UK,,,,12400 YAGER LN,Theft,2015-07-17 12:00:00.000000 UTC,,,2015,
20152001223,"6700 BLK LAKEWOOD DR Austin, TX",,,,,BURGLARY OF VEHICLE           ,UK,,,,6700 BLK LAKEWOOD DR,Theft,2015-07-19 12:00:00.000000 UTC,,,2015,
20152011569,"Austin, TX",,2015-08-13 12:00:00.000000 UTC,Not cleared,,RAPE                          ,B,,,,nan,Rape,2015-07-20 12:00:00.000000 UTC,,,2015,
20152010778,"3154 HWY 71 Austin, TX",,2015-07-26 12:00:00.000000 UTC,Not cleared,,AGG ASSAULT                   ,UK,,,,3154 HWY 71,Agg Assault,2015-07-20 12:00:00.000000 UTC,,,2015,
20152011840,"13096 N US 183 SVRD SB Austin, TX",,,,,BURGLARY OF VEHICLE           ,UK,,,,13096 N US 183 SVRD SB,Theft,2015-07-20 12:00:00.000000 UTC,,,2015,
20152021267,"Austin, TX",,2015-08-28 12:00:00.000000 UTC,Cleared by Exception,,RAPE                          ,UK,,,,nan,Rape,2015-07-21 12:00:00.000000 UTC,,,2015,
20152061714,"1276 WALNUT CREEK PARK RD Austin, TX",,,,,BURGLARY OF VEHICLE           ,UK,,,,1276 WALNUT CREEK PARK RD,Theft,2015-07-25 12:00:00.000000 UTC,,,2015,
20152090184,"1030 NORWOOD PARK Austin, TX",,2015-08-15 12:00:00.000000 UTC,Cleared by Arrest,,THEFT                         ,UK,,,,1030 NORWOOD PARK,Theft,2015-07-28 12:00:00.000000 UTC,,,2015,
20155033889,"FM 1327 / S. IH-35 Austin, TX",,2015-08-13 12:00:00.000000 UTC,Not cleared,,THEFT                         ,UK,,,,FM 1327 / S. IH-35,Theft,2015-07-31 12:00:00.000000 UTC,,,2015,
20152151089,"1030 NORWOOD RD Austin, TX",,2015-09-21 12:00:00.000000 UTC,Not cleared,,THEFT                         ,UK,,,,1030 NORWOOD RD,Theft,2015-08-03 12:00:00.000000 UTC,,,2015,
20152160078,"7715 E BEN WHITE BLVD SVRD EB Austin, TX",,2015-08-26 12:00:00.000000 UTC,Not cleared,,THEFT BY SHOPLIFTING          ,H,,,,7715 E BEN WHITE BLVD SVRD EB,Theft,2015-08-04 12:00:00.000000 UTC,,,2015,
20152170295,"3110 CROSSCREEK DR Austin, TX",,,,,BURGLARY OF VEHICLE           ,UK,,,,3110 CROSSCREEK DR,Theft,2015-08-05 12:00:00.000000 UTC,,,2015,
20152191037,"2525 W ANDERSON LANE Austin, TX",,,,,THEFT BY SHOPLIFTING          ,UK,,,,2525 W ANDERSON LANE,Theft,2015-08-07 12:00:00.000000 UTC,,,2015,
20152211194,"N MOPAC SVRD NB & RESEARCH BLVD SVRD SB Austin, TX",,2015-08-14 12:00:00.000000 UTC,Not cleared,,BURGLARY NON RESIDENCE        ,UK,,,,N MOPAC SVRD NB & RESEARCH BLVD SVRD SB,Burglary,2015-08-09 12:00:00.000000 UTC,,,2015,
20152221218,"TROTWOOD DR Austin, TX",,2015-10-14 12:00:00.000000 UTC,Not cleared,,AGG ROBBERY/DEADLY WEAPON     ,UK,,,,TROTWOOD DR,Robbery,2015-08-10 12:00:00.000000 UTC,,,2015,
20155035611,"9315 MC NEIL RD Austin, TX",,,,,THEFT                         ,UK,,,,9315 MC NEIL RD,Theft,2015-08-13 12:00:00.000000 UTC,,,2015,
20152271628,"500 WEST 5TH ST Austin, TX",,2015-09-23 12:00:00.000000 UTC,Not cleared,,AGG ASSAULT                   ,UK,,,,500 WEST 5TH ST,Agg Assault,2015-08-15 12:00:00.000000 UTC,,,2015,
20158002894,"8513 N CAPITAL OF TEXAS HWY NB Austin, TX",,,,,THEFT OF AUTO PARTS           ,UK,,,,8513 N CAPITAL OF TEXAS HWY NB,Theft,2015-08-23 12:00:00.000000 UTC,,,2015,
20155037343,"7575 BURNET RD Austin, TX",,2015-08-25 12:00:00.000000 UTC,Not cleared,,BURGLARY OF VEHICLE           ,I,,,,7575 BURNET RD,Theft,2015-08-24 12:00:00.000000 UTC,,,2015,
20152391359,"3405 ANDTREE BLVD Austin, TX",,,,,THEFT OF AUTO PARTS           ,UK,,,,3405 ANDTREE BLVD,Theft,2015-08-27 12:00:00.000000 UTC,,,2015,
20152382041,"7715 E BEN WHITE BLVD SVRD EB Austin, TX",,2015-09-22 12:00:00.000000 UTC,Not cleared,,THEFT                         ,UK,,,,7715 E BEN WHITE BLVD SVRD EB,Theft,2015-08-27 12:00:00.000000 UTC,,,2015,
20152451066,"12707 N MOPAC EXPY SVRD NB Austin, TX",,2015-09-03 12:00:00.000000 UTC,Cleared by Arrest,,THEFT BY SHOPLIFTING          ,A,,,,12707 N MOPAC EXPY SVRD NB,Theft,2015-09-02 12:00:00.000000 UTC,,,2015,
20152460175,"8414 BANGOR BEND Austin, TX",,2015-09-08 12:00:00.000000 UTC,Cleared by Arrest,,AGG ASLT STRANGLE/SUFFOCATE   ,UK,,,,8414 BANGOR BEND,Agg Assault,2015-09-03 12:00:00.000000 UTC,,,2015,
20152500118,"1308 THORNBERRY RD Austin, TX",,2015-09-09 12:00:00.000000 UTC,Cleared by Arrest,,AGG ASLT STRANGLE/SUFFOCATE   ,UK,,,,1308 THORNBERRY RD,Agg Assault,2015-09-07 12:00:00.000000 UTC,,,2015,
20152510754,"100 BLK CHALMERS STREET Austin, TX",,2015-11-12 12:00:00.000000 UTC,Not cleared,,ROBBERY BY ASSAULT            ,UK,,,,100 BLK CHALMERS STREET,Robbery,2015-09-08 12:00:00.000000 UTC,,,2015,
20152511013,"2381 E US HWY 71 SVRD WB Austin, TX",,2015-10-01 12:00:00.000000 UTC,Not cleared,,BURG NON RESIDENCE SHEDS      ,UK,,,,2381 E US HWY 71 SVRD WB,Burglary,2015-09-08 12:00:00.000000 UTC,,,2015,
20155039833,"900 W 26TH ST Austin, TX",,,,,THEFT OF BICYCLE              ,UK,,,,900 W 26TH ST,Theft,2015-09-09 12:00:00.000000 UTC,,,2015,
20152531324,"2300 W BEN WHITE BLVD SVRD Austin, TX",,2015-10-07 12:00:00.000000 UTC,Cleared by Arrest,,THEFT                         ,UK,,,,2300 W BEN WHITE BLVD SVRD,Theft,2015-09-10 12:00:00.000000 UTC,,,2015,
20152571611,"12707 N MOPAC EXPY SVRD NB Austin, TX",,,,,THEFT BY SHOPLIFTING          ,A,,,,12707 N MOPAC EXPY SVRD NB,Theft,2015-09-14 12:00:00.000000 UTC,,,2015,
20152622081,"15424 FM 1825 RD Austin, TX",,,,,BURGLARY OF VEHICLE           ,UK,,,,15424 FM 1825 RD,Theft,2015-09-19 12:00:00.000000 UTC,,,2015,
20152631273,"Austin, TX",,,,,RAPE                          ,B,,,,nan,Rape,2015-09-20 12:00:00.000000 UTC,,,2015,
20152660859,"2907 ACOPIO BEND Austin, TX",,2015-10-06 12:00:00.000000 UTC,Not cleared,,BURGLARY NON RESIDENCE        ,UK,,,,2907 ACOPIO BEND,Burglary,2015-09-23 12:00:00.000000 UTC,,,2015,
20155042167,"Austin, TX",,,,,RAPE OF A CHILD               ,UK,,,,nan,Rape,2015-09-24 12:00:00.000000 UTC,,,2015,
20152690763,"Austin, TX",,2015-10-26 12:00:00.000000 UTC,Not cleared,,RAPE                          ,B,,,,nan,Rape,2015-09-26 12:00:00.000000 UTC,,,2015,
20152711442,"Austin, TX",,2015-10-06 12:00:00.000000 UTC,Cleared by Exception,,RAPE                          ,H,,,,nan,Rape,2015-09-28 12:00:00.000000 UTC,,,2015,
20152721827,"9070 RESEARCH BLVD Austin, TX",,2015-12-10 12:00:00.000000 UTC,Not cleared,,BURGLARY OF VEHICLE           ,UK,,,,9070 RESEARCH BLVD,Theft,2015-09-29 12:00:00.000000 UTC,,,2015,
20152741751,"4020 S INDUSTRIAL BLVD Austin, TX",,2015-10-06 12:00:00.000000 UTC,Not cleared,,AUTO THEFT                    ,UK,,,,4020 S INDUSTRIAL BLVD,Auto Theft,2015-10-01 12:00:00.000000 UTC,,,2015,
20152780236,"Austin, TX",,2015-10-06 12:00:00.000000 UTC,Not cleared,,RAPE                          ,UK,,,,nan,Rape,2015-10-05 12:00:00.000000 UTC,,,2015,
20155044623,"4710 S LAMAR BLVD SVRD SB Austin, TX",,,,,THEFT                         ,UK,,,,4710 S LAMAR BLVD SVRD SB,Theft,2015-10-09 12:00:00.000000 UTC,,,2015,
20152830494,"NUCKOLS/STASSNEY Austin, TX",,2015-10-19 12:00:00.000000 UTC,Not cleared,,THEFT FROM PERSON             ,UK,,,,NUCKOLS/STASSNEY,Theft,2015-10-10 12:00:00.000000 UTC,,,2015,
20155045490,"Austin, TX",,2015-12-26 12:00:00.000000 UTC,Not cleared,,RAPE                          ,UK,,,,nan,Rape,2015-10-14 12:00:00.000000 UTC,,,2015,
20152870686,"Austin, TX",,2016-01-26 12:00:00.000000 UTC,Not cleared,,RAPE                          ,UK,,,,nan,Rape,2015-10-14 12:00:00.000000 UTC,,,2015,
20152881235,"14000 THE LAKES BLVD Austin, TX",,2015-10-19 12:00:00.000000 UTC,Cleared by Exception,,AGG ASSAULT FAM/DATE VIOLENCE ,UK,,,,14000 THE LAKES BLVD,Agg Assault,2015-10-15 12:00:00.000000 UTC,,,2015,
20152880477,"9300 S. IH 35 SVC ROAD S/B Austin, TX",,2016-02-12 12:00:00.000000 UTC,Not cleared,,THEFT                         ,UK,,,,9300 S. IH 35 SVC ROAD S/B,Theft,2015-10-15 12:00:00.000000 UTC,,,2015,
20152902061,"BEN WHITE Austin, TX",,2015-10-22 12:00:00.000000 UTC,Cleared by Exception,,AGG ASLT STRANGLE/SUFFOCATE   ,UK,,,,BEN WHITE,Agg Assault,2015-10-18 12:00:00.000000 UTC,,,2015,
20152920841,"2201 S PLEASANT VALLEY DR Austin, TX",,2015-11-10 12:00:00.000000 UTC,Not cleared,,BURGLARY NON RESIDENCE        ,UK,,,,2201 S PLEASANT VALLEY DR,Burglary,2015-10-19 12:00:00.000000 UTC,,,2015,
20155046162,"9345 E US 290 HWY SVRD EB Austin, TX",,,,,BURGLARY OF VEHICLE           ,UK,,,,9345 E US 290 HWY SVRD EB,Theft,2015-10-19 12:00:00.000000 UTC,,,2015,
20152931415,"9315 CHISHOLM TRL Austin, TX",,2015-10-27 12:00:00.000000 UTC,Not cleared,,BURGLARY OF VEHICLE           ,UK,,,,9315 CHISHOLM TRL,Theft,2015-10-20 12:00:00.000000 UTC,,,2015,
20152941048,"9300 S IH 35 SVRD SB Austin, TX",,2015-11-04 12:00:00.000000 UTC,Cleared by Arrest,,THEFT BY SHOPLIFTING          ,UK,,,,9300 S IH 35 SVRD SB,Theft,2015-10-21 12:00:00.000000 UTC,,,2015,
20155046564,"1808 PROCTOR WACO TX 76708 Austin, TX",,2015-12-10 12:00:00.000000 UTC,Cleared by Arrest,,THEFT                         ,UK,,,,1808 PROCTOR WACO TX 76708,Theft,2015-10-21 12:00:00.000000 UTC,,,2015,
20152951408,"5621 N IH 35 SVRD SB Austin, TX",,,,,THEFT BY SHOPLIFTING          ,UK,,,,5621 N IH 35 SVRD SB,Theft,2015-10-22 12:00:00.000000 UTC,,,2015,
20155046960,"Austin, TX",,2015-11-20 12:00:00.000000 UTC,Not cleared,,RAPE OF A CHILD               ,UK,,,,nan,Rape,2015-10-23 12:00:00.000000 UTC,,,2015,
20152990662,"Austin, TX",,2015-11-10 12:00:00.000000 UTC,Not cleared,,RAPE                          ,C,,,,nan,Rape,2015-10-26 12:00:00.000000 UTC,,,2015,
20153030278,"Austin, TX",,2016-01-19 12:00:00.000000 UTC,Not cleared,,RAPE                          ,B,,,,nan,Rape,2015-10-30 12:00:00.000000 UTC,,,2015,
20155048080,"W PARMER LN & N IH 35 SVRD NB Austin, TX",,,,,THEFT                         ,UK,,,,W PARMER LN & N IH 35 SVRD NB,Theft,2015-10-31 12:00:00.000000 UTC,,,2015,
20153080533,"1030 NORWOOD Austin, TX",,2015-11-06 12:00:00.000000 UTC,Cleared by Arrest,,THEFT BY SHOPLIFTING          ,UK,,,,1030 NORWOOD,Theft,2015-11-04 12:00:00.000000 UTC,,,2015,
20153111761,"3003 S LAMAR BLVD Austin, TX",,2015-11-10 12:00:00.000000 UTC,Not cleared,,THEFT FROM PERSON             ,D,,,,3003 S LAMAR BLVD,Theft,2015-11-07 12:00:00.000000 UTC,,,2015,
20153201381,"1030 NORWOOD PARK BVLD. Austin, TX",,2015-11-16 12:00:00.000000 UTC,Cleared by Arrest,,THEFT BY SHOPLIFTING          ,UK,,,,1030 NORWOOD PARK BVLD.,Theft,2015-11-16 12:00:00.000000 UTC,,,2015,
20155050704,"3803 NUCKOLS CROSSING RD Austin, TX",,2015-11-18 12:00:00.000000 UTC,Not cleared,,THEFT                         ,F,,,,3803 NUCKOLS CROSSING RD,Theft,2015-11-17 12:00:00.000000 UTC,,,2015,
20153230910,"3400 SADDLESTRING TRL Austin, TX",,2015-11-20 12:00:00.000000 UTC,Not cleared,,THEFT OF LICENSE PLATE        ,UK,,,,3400 SADDLESTRING TRL,Theft,2015-11-19 12:00:00.000000 UTC,,,2015,
